n_states,log_likelihood,aic,bic
3,-21555.71714516886,43163.43429033772,43357.10529305424
4,-12833.778806572149,25745.557613144298,26036.064117219088
5,-11454.221614763599,23016.443229527198,23418.683004399983
6,-5724.9010032120605,11591.802006424121,12120.672821534636
7,-2158.8160043291405,4497.632008658281,5168.031633446259
8,-2051.0357759539625,4324.071551907925,5150.897755813097
9,28.298782650927805,211.4024346981444,1209.552987160244
10,1062.2505581848015,-1806.501116369603,-622.1284459108431
11,1598.4184860319067,-2824.8369720638134,-1439.3444141686603
12,3945.6768354973997,-7461.353670994799,-5859.84345622352
13,4333.769415568169,-8175.538831136339,-6343.1131900492
14,4778.337990955432,-8998.675981910865,-6920.437145068136
15,5180.400379737696,-9732.800759475393,-7393.850957437338
16,6716.36171042823,-12730.72342085646,-10116.164884183348
17,7027.164779374405,-13274.32955874881,-10369.264518000908
18,7455.636803885581,-14049.273607771162,-10838.804293508736
19,8856.992155076252,-16765.984310152504,-13235.212952935824
20,9885.085158832644,-18732.170317665288,-14866.199148054618
